% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+02 +9.124201902e+02 +4.503301902e+02 +4.503301902e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +7.637112127e+02 +7.637112127e+02 +3.016212127e+02 +3.016212127e+02 -3.5719e-01 +8.7405e-01 -6.5488e-01 +1.4988e+00 +4.7712e-01 +6.3634e-01 -2.0256e+00 +9.7474e-01 -9.2790e-01 +9.1194e-01 +1.8921e-01 +6.2423e-02 -6.5202e-01 +6.6990e-02 -1.4966e-01 -1.4251e+00 -5.9167e-03 -1.0403e-01 -1.4392e+00 +1.4549e-01
4 +7.121868974e+02 +7.121868974e+02 +2.500968974e+02 +2.500968974e+02 +3.2606e-01 +2.9023e-01 +9.1037e-02 +2.0585e+00 -2.6179e-01 +2.6789e+00 +1.8826e-01 +2.0141e+00 -1.6211e+00 +1.1370e+00 +1.1077e+00 -1.4202e-01 -2.4670e-01 -7.0219e-01 +9.5432e-01 -4.4237e+00 -1.8501e+00 +6.4871e-01 -7.4641e-01 -2.1371e-01
12 +6.542636222e+02 +6.542636222e+02 +1.921736222e+02 +1.921736222e+02 +2.0993e+00 -1.1611e+00 -1.2876e+00 +1.4657e+00 -2.9182e-01 +2.9347e+00 -1.0225e+00 +1.4735e+00 -2.0257e+00 +4.6153e-01 +5.3851e-01 +5.5041e-01 -3.1508e-01 -1.4454e+00 +2.1149e-01 -5.0782e+00 -2.4601e+00 +1.4687e+00 -1.3911e+00 +1.0220e+00
25 +6.267550730e+02 +6.267550730e+02 +1.646650730e+02 +1.646650730e+02 +2.6718e+00 -1.8890e+00 -3.2855e+00 +2.4807e+00 -1.3931e+00 +2.8378e+00 -1.0131e+00 +2.1435e+00 -2.2778e+00 +1.9398e+00 +3.7333e-01 +1.2841e-01 -3.6720e-01 -3.2566e+00 -1.0080e+00 -7.4921e+00 -3.5469e-01 +2.2805e+00 -2.2329e+00 +3.4114e+00
53 +5.533607971e+02 +5.533607971e+02 +9.127079707e+01 +9.127079707e+01 +1.1765e+00 -4.6834e+00 -4.6461e+00 +1.4186e+00 -6.6299e-01 +1.9558e+00 +1.9417e+00 +4.2566e+00 +5.2980e-01 -5.9940e-02 +1.2724e+00 -2.3879e+00 -6.1263e-01 -4.9646e+00 -1.0486e+00 -4.4645e+00 -2.0062e+00 +1.3408e+00 -1.1781e+00 +3.4638e+00
86 +5.085796336e+02 +5.085796336e+02 +4.648963363e+01 +4.648963363e+01 -1.0090e+00 -2.1346e+00 -1.9106e+00 +2.9416e+00 +5.7750e-02 +3.0536e+00 +9.4121e-01 +1.8136e+00 +1.1310e+00 +2.1180e-01 -1.1455e+00 -1.2722e-01 +2.1776e-01 -3.5282e+00 -7.9925e-01 -3.2145e+00 -6.5934e-01 -6.7076e-01 -4.5955e+00 +1.6787e+00
171 +3.861182916e+02 +3.861182916e+02 -7.597170841e+01 -7.597170841e+01 -1.9811e+00 -5.0308e+00 -3.2131e+00 +2.4548e+00 +8.3986e-02 +2.0707e+00 -1.5878e-01 +3.4726e-01 +3.3901e+00 +4.2097e-01 -2.6193e+00 -9.0380e-01 -1.4727e+00 -2.9160e+00 +7.4525e-02 -4.7775e+00 +2.1419e-01 +2.5186e+00 -3.1567e+00 +1.5403e+00
365 +3.412488539e+02 +3.412488539e+02 -1.208411461e+02 -1.208411461e+02 -1.2921e+00 -2.9908e+00 +2.8764e+00 -2.5582e-01 +1.7364e+00 -1.7577e+00 +4.3542e-01 +3.2842e+00 +2.7017e+00 -4.6267e-01 -2.9451e+00 -4.2229e+00 -7.2519e-01 -4.4357e+00 -2.3098e+00 -5.6084e+00 +7.0388e-01 +2.8595e+00 -3.0730e+00 +2.1227e-01
379 +3.064675519e+02 +3.064675519e+02 -1.556224481e+02 -1.556224481e+02 -1.5277e+00 -2.8238e+00 +3.6709e+00 +9.4694e-01 +9.2984e-01 -2.1692e+00 +1.3688e+00 +4.2144e+00 +3.9364e+00 +4.1840e-01 -3.2216e+00 -3.2671e+00 -1.9489e-01 -3.4633e+00 -2.2325e+00 -5.3288e+00 +4.8677e-01 +1.8002e+00 -2.1256e+00 +3.0137e-02
636 +2.975295622e+02 +2.975295622e+02 -1.645604378e+02 -1.645604378e+02 -3.6437e+00 +2.8474e-01 +1.9306e+00 +5.9198e-01 -1.5885e-02 -8.1374e-01 +1.5262e+00 +4.9482e-01 +2.6289e+00 -1.2212e+00 -3.4256e+00 -2.6915e+00 -1.8395e+00 -1.5862e+00 -7.4122e-01 -4.7625e+00 -8.5385e-01 +2.8077e+00 -2.9208e+00 +2.4170e+00
657 +2.739956747e+02 +2.739956747e+02 -1.880943253e+02 -1.880943253e+02 -2.4810e+00 +9.8292e-01 +2.7675e-01 +7.1878e-01 -2.5025e-01 +1.2866e+00 +1.6896e+00 +4.7862e-01 +2.8516e+00 -1.6414e+00 -1.3431e+00 -1.6388e+00 -4.7577e-01 -3.2942e+00 -2.0770e+00 -2.8335e+00 +1.0622e+00 +4.3524e+00 -2.0656e+00 +2.9177e+00
681 +2.685265741e+02 +2.685265741e+02 -1.935634259e+02 -1.935634259e+02 -4.2448e+00 +1.9813e-01 +9.0798e-01 +1.2588e+00 +8.7930e-01 +2.0812e+00 +3.4335e-02 -1.3547e+00 +2.6070e+00 -2.1876e+00 -1.5637e+00 -4.4157e+00 -1.7482e-01 -3.3116e+00 -5.2271e-01 -2.8290e+00 +1.7332e-01 +4.1596e+00 -1.8699e+00 +2.1611e+00
686 +2.357768357e+02 +2.357768357e+02 -2.263131643e+02 -2.263131643e+02 -3.0918e+00 +6.4511e-01 +1.4080e+00 -9.9072e-02 +4.8416e-01 +2.7921e+00 +1.6376e+00 +6.1481e-01 +1.9299e+00 -1.7355e+00 -5.9247e-01 -4.3423e+00 +1.9603e-01 -3.3906e+00 -1.8267e+00 -3.7205e+00 +1.0387e+00 +4.1716e+00 -2.3748e+00 +9.1317e-01
807 +2.316131339e+02 +2.316131339e+02 -2.304768661e+02 -2.304768661e+02 -7.9861e-01 +2.1659e+00 +3.9169e+00 +1.5744e+00 -6.5370e-01 +3.6261e+00 +1.7015e+00 +3.0535e+00 +2.3112e+00 +1.8469e+00 -2.7617e+00 -5.1461e+00 +4.9938e-01 -4.1178e+00 -1.8786e+00 -3.5687e+00 -1.3753e-02 +4.3204e+00 -1.9553e+00 +2.4629e+00
