% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.743465359e+05 +7.743465359e+05 +7.743824359e+05 +7.743824359e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
12 +5.781059279e+05 +5.781059279e+05 +5.781418279e+05 +5.781418279e+05 +2.7705e-01 +2.2459e+00 +1.8358e+00 -4.1381e+00 -1.7311e+00 +6.1225e-01 +3.1246e-01 -7.0421e-01 -1.2844e+00 -1.2056e+00 +5.0708e-01 -8.6110e-01 +1.5630e+00 +1.1104e+00 +1.9931e+00 +3.7203e-01 +6.6103e-01 -1.3108e-01 -3.1116e+00 -1.1820e+00
13 +5.484032668e+05 +5.484032668e+05 +5.484391668e+05 +5.484391668e+05 +1.6604e-01 +3.6870e+00 +2.8320e+00 -2.4158e+00 -1.1646e+00 -1.7134e+00 +1.6252e+00 +1.8387e+00 -2.1709e+00 -1.5236e+00 -4.5473e-02 -1.1582e+00 -1.3779e+00 -3.7536e-01 +2.6676e+00 -1.7780e+00 +5.9622e-01 +6.3799e-01 +4.7927e-01 -1.6023e+00
26 +3.566210724e+05 +3.566210724e+05 +3.566569724e+05 +3.566569724e+05 -6.2222e-01 +3.0710e+00 +2.7277e+00 -3.0182e-01 -7.6480e-01 -3.7342e+00 +4.6388e-01 +1.2496e+00 -7.9070e-01 -2.4609e+00 +7.1153e-01 -2.0581e+00 -1.2231e+00 -2.3223e+00 +2.9685e+00 -2.9958e+00 +3.6630e-01 +2.9501e+00 +2.5321e+00 -3.3373e+00
38 +3.243213162e+05 +3.243213162e+05 +3.243572162e+05 +3.243572162e+05 +1.8694e-02 +3.1596e+00 +2.6867e+00 -1.0437e-01 -1.4162e+00 -2.1148e+00 -5.0606e-01 -1.0144e+00 -2.0903e+00 -2.0891e+00 +1.3257e+00 -1.5329e+00 -1.7710e+00 -1.6966e+00 +3.8139e+00 -3.8845e+00 -3.5908e-01 +2.1203e+00 +1.6617e+00 -4.3113e+00
47 +3.110039499e+05 +3.110039499e+05 +3.110398499e+05 +3.110398499e+05 +1.7789e-01 +3.9069e+00 +3.4804e+00 -1.7647e+00 -9.6543e-01 -3.4343e+00 -8.0873e-01 -1.0841e+00 -3.8443e+00 -3.3666e+00 -1.0488e+00 -1.9547e+00 -1.7339e+00 -1.5950e+00 +3.2091e+00 -2.7294e+00 +2.5174e-01 +7.5973e-01 +3.6873e-01 -3.6664e+00
55 +2.060244172e+05 +2.060244172e+05 +2.060603172e+05 +2.060603172e+05 -5.1211e-01 +5.6892e+00 +2.8757e+00 -1.7123e+00 -1.6832e+00 -4.4992e+00 -1.2063e+00 -2.5407e+00 -4.7953e+00 -3.3661e+00 -3.7382e+00 -3.2006e+00 -2.4640e+00 -4.5493e+00 +3.1052e+00 -3.1818e+00 +3.1253e+00 +2.7245e+00 -7.5064e-01 -4.1802e+00
62 +2.022858405e+05 +2.022858405e+05 +2.023217405e+05 +2.023217405e+05 -1.0447e+00 +6.0330e+00 +1.2434e+00 -2.4867e-01 -2.5766e+00 -4.3871e+00 -3.5532e+00 -2.0450e+00 -4.4238e+00 -5.0274e+00 -4.7582e+00 -1.9970e+00 -1.6046e+00 -5.8333e+00 +3.8350e+00 -2.9846e+00 +3.8354e+00 +4.1086e+00 -1.4792e+00 -5.5296e+00
73 +1.841343021e+05 +1.841343021e+05 +1.841702021e+05 +1.841702021e+05 -4.2048e-01 +5.4837e+00 +2.0573e+00 +1.3380e+00 -3.1270e+00 -3.3744e+00 -3.8145e+00 -2.3657e+00 -4.7983e+00 -6.4881e+00 -3.5720e+00 -6.6396e-01 -2.2075e+00 -6.8080e+00 +4.0751e+00 -2.3029e+00 +3.3781e+00 +3.6575e+00 -1.5215e+00 -4.3224e+00
75 +1.287969358e+05 +1.287969358e+05 +1.288328358e+05 +1.288328358e+05 -2.4946e+00 +5.0825e+00 +1.9494e-01 +1.9117e+00 -2.1540e+00 -6.5816e+00 -5.8358e+00 -2.3128e+00 -2.6625e+00 -6.6876e+00 -5.9820e+00 -3.4780e+00 -1.9393e+00 -9.5779e+00 +4.9449e+00 -3.9069e+00 +5.3644e+00 +8.2425e+00 -6.5007e-01 -8.0842e+00
