% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.773964217e+03 +1.773964217e+03 +1.803934217e+03 +1.803934217e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
39 +1.424053646e+03 +1.424053646e+03 +1.454023646e+03 +1.454023646e+03 +2.7739e+00 +5.6705e-01 -2.6427e+00 -1.7883e+00 +2.9136e+00 -9.1084e-01 -2.5064e+00 -1.1091e+00 -2.4810e+00 +6.9566e-02 +6.3073e-02 -1.6712e+00 +7.2444e-01 +1.8918e+00 +9.7131e-02 -1.8322e-02 +3.7632e-01 +2.8223e+00 +7.0278e-01 -1.8915e+00
72 +1.398908931e+03 +1.398908931e+03 +1.428878931e+03 +1.428878931e+03 +8.1560e-01 -1.1375e+00 -2.9109e+00 -1.3107e+00 +6.7774e-01 -1.4261e+00 -6.9206e-01 -2.4501e+00 -5.4700e-01 -9.9458e-01 -1.0439e+00 +1.2510e+00 +2.1599e+00 -5.8689e-02 +1.4556e+00 -3.1458e-01 -1.7427e+00 +1.8639e+00 +2.6711e+00 -3.1360e-01
107 +1.339162146e+03 +1.339162146e+03 +1.369132146e+03 +1.369132146e+03 +1.4132e+00 -2.0728e+00 -2.2338e+00 -3.1353e+00 +2.3339e+00 -2.7207e+00 -2.5099e+00 -5.1618e+00 -9.4522e-01 -3.4147e+00 -1.2254e+00 +5.6578e-01 +1.9638e+00 +3.1486e+00 +1.6278e+00 +1.5640e+00 -1.3839e+00 +1.5796e+00 +7.6381e-01 -8.7170e-01
160 +1.211949081e+03 +1.211949081e+03 +1.241919081e+03 +1.241919081e+03 -5.6357e-01 -2.3303e+00 -3.6545e+00 -3.5623e+00 +4.3702e+00 +1.4569e+00 -3.5221e+00 -3.6461e+00 -1.8911e+00 -4.9296e-01 -5.0790e-01 -3.0815e+00 +3.9987e+00 +1.1553e+00 +1.8666e+00 +9.0070e-01 -1.3862e+00 -5.0125e-01 +2.4204e+00 +4.0702e-01
162 +1.171429053e+03 +1.171429053e+03 +1.201399053e+03 +1.201399053e+03 -1.2634e+00 -8.0907e-01 -3.6360e+00 -2.3058e+00 +3.7088e+00 +4.8088e-01 -1.7538e+00 -3.2340e+00 -1.1984e+00 -8.0684e-01 +5.8243e-01 -1.1269e+00 +2.8138e+00 -4.0237e-01 +1.0935e+00 +5.1721e-01 -2.2748e+00 +1.5904e-01 +2.8389e+00 +5.2783e-01
174 +1.139994488e+03 +1.139994488e+03 +1.169964488e+03 +1.169964488e+03 -1.0393e+00 -3.6780e+00 -1.3453e+00 -3.4430e+00 +3.7455e+00 +2.6351e+00 -3.8169e+00 -2.7740e+00 -1.1988e+00 -4.1606e-01 -1.3619e+00 -2.0406e+00 +3.8422e+00 +1.0163e+00 +3.1872e+00 +1.0053e-01 -2.7533e+00 -1.5570e+00 +2.6993e+00 -1.5945e+00
246 +1.048395383e+03 +1.048395383e+03 +1.078365383e+03 +1.078365383e+03 -1.6720e+00 -2.1163e+00 -1.1313e+00 -3.1211e+00 +2.5656e+00 +2.5646e+00 -2.4752e+00 -3.0750e+00 -2.5127e-01 -4.4522e+00 +6.6702e-01 -1.3766e+00 +2.5016e+00 +2.9951e+00 +6.8818e-01 +3.2059e+00 -3.9150e+00 +1.0913e+00 +1.2454e+00 -1.7729e+00
265 +9.936251615e+02 +9.936251615e+02 +1.023595162e+03 +1.023595162e+03 -1.1685e+00 -1.8036e+00 -3.8347e+00 -3.0681e+00 +2.3911e+00 +2.8873e+00 -3.0088e+00 -3.7502e+00 -1.2037e+00 -3.5500e+00 +5.1057e-03 -1.4447e+00 +4.1959e+00 +2.9571e+00 +1.4979e+00 +9.1572e-01 -1.3249e+00 -6.3942e-01 +2.1419e+00 -1.4541e+00
433 +8.464681548e+02 +8.464681548e+02 +8.764381548e+02 +8.764381548e+02 -1.8965e+00 -3.1678e-01 -2.7870e+00 -2.1194e+00 +2.7921e+00 +2.4957e+00 -2.6862e+00 -3.4385e+00 -5.1324e-01 -2.2322e+00 +6.9178e-01 -4.9923e-01 +4.9644e+00 +2.9169e+00 +9.6055e-01 +2.2262e+00 -2.9661e+00 +2.3945e+00 +9.9106e-01 -2.1498e+00
