% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.777311742e+04 +1.777311742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
37 +1.570975693e+04 +1.570975693e+04 +1.516325693e+04 +1.516325693e+04 +1.4441e+00 +8.1702e-01 +2.2346e+00 -6.8077e-01 +7.3922e-01 +2.8583e-01 -5.8259e-01 +4.2688e+00 -2.5535e-01 +5.9333e-01 +1.5482e+00 +3.1845e-01 +1.2734e+00 +9.5238e-01 +1.3086e+00 +6.3935e-01 -2.7030e-01 -4.7760e-01 -3.4176e+00 +7.6814e-01
41 +1.330709226e+04 +1.330709226e+04 +1.276059226e+04 +1.276059226e+04 +1.5573e+00 +1.2771e+00 +6.8473e-01 -7.0073e-01 +2.0360e+00 -2.9270e-01 +1.1946e+00 +4.1493e+00 -1.0880e+00 +1.4873e+00 +9.3339e-02 +3.5885e+00 +1.7228e+00 +1.9136e+00 +2.0225e+00 -1.1370e+00 -4.5699e-01 -1.2319e+00 -2.7364e+00 +1.6479e+00
45 +1.145843890e+04 +1.145843890e+04 +1.091193890e+04 +1.091193890e+04 +1.2087e-01 +3.1252e+00 +3.1736e+00 -5.4608e-01 +1.6497e+00 +3.6118e-01 +7.4128e-01 +3.9526e+00 -1.7283e+00 +5.2249e-01 -5.3744e-01 +2.6973e+00 +3.7169e+00 +2.0954e+00 +2.5467e+00 -8.7490e-01 +1.4694e+00 -1.4063e+00 -1.7739e+00 +1.8197e+00
141 +9.654858563e+03 +9.654858563e+03 +9.108358563e+03 +9.108358563e+03 +3.4225e+00 +3.5219e+00 -2.4840e+00 +6.5162e-01 +1.8267e+00 +3.2917e+00 -2.0615e+00 +1.0579e+00 -2.3131e+00 +1.2429e+00 +1.2759e+00 +2.8053e+00 -6.2995e-01 -1.9578e+00 +2.2653e+00 -6.6312e-01 +2.6095e+00 -3.8567e-01 -5.3853e-01 -9.2884e-02
146 +8.332732466e+03 +8.332732466e+03 +7.786232466e+03 +7.786232466e+03 +1.9139e+00 +3.8582e+00 -1.9098e+00 +3.6983e-01 +3.1040e+00 +3.7812e+00 -2.7342e+00 +9.4826e-01 -2.6213e+00 +9.7670e-01 +1.0520e+00 +3.2542e+00 +4.8625e-01 -1.6682e+00 +1.6624e+00 -4.1986e-01 +1.7187e+00 -9.4216e-01 -4.7956e-01 +1.3218e-01
160 +5.313586181e+03 +5.313586181e+03 +4.767086181e+03 +4.767086181e+03 +1.7807e+00 +3.2639e+00 -1.6463e+00 +4.5672e-01 +5.3881e+00 +2.9070e+00 -3.4720e+00 +4.1830e-01 -1.4962e+00 +1.2781e-02 +9.0458e-01 +3.1708e+00 +9.2343e-01 -1.1224e+00 +1.3531e+00 -2.7418e+00 +3.3118e-01 -8.6610e-01 -5.0373e-01 +8.5093e-01
163 +3.410102114e+03 +3.410102114e+03 +2.863602114e+03 +2.863602114e+03 +2.3650e+00 +1.3925e+00 -2.9485e-01 +2.2399e+00 +5.2051e+00 +2.2767e+00 -1.9988e+00 +1.9392e+00 -2.4123e+00 -8.1812e-02 +5.9865e-01 +3.3767e+00 +1.7137e+00 +6.6277e-02 +1.2013e+00 -2.1073e+00 +1.1251e+00 -2.2224e+00 -1.5395e+00 +1.5894e+00
177 +3.344154567e+03 +3.344154567e+03 +2.797654567e+03 +2.797654567e+03 -2.2337e-02 +2.7761e+00 -1.3628e+00 +2.4559e+00 +4.1926e+00 +3.0029e+00 -9.1241e-01 +1.8030e+00 -2.0218e+00 +6.3688e-01 +9.1656e-01 +3.2325e+00 +7.6408e-01 -3.7973e-01 +2.4770e+00 -8.6086e-01 +2.3204e+00 -1.1793e+00 -2.2983e+00 +1.0442e+00
446 +2.533315580e+03 +2.533315580e+03 +1.986815580e+03 +1.986815580e+03 +3.8818e+00 -1.0182e+00 +2.1911e+00 -2.6737e+00 -2.5346e+00 +4.6354e-01 -3.3517e+00 +7.9988e-01 -1.7442e+00 -8.5388e-01 +1.7219e+00 -3.9047e-01 +2.7561e+00 -2.1554e-01 +5.3955e-01 -2.7879e+00 +1.1278e+00 -2.6693e-01 -8.4256e-01 +1.7211e+00
483 +2.216893826e+03 +2.216893826e+03 +1.670393826e+03 +1.670393826e+03 +3.5819e+00 +2.2340e+00 +2.7137e+00 -8.5818e-01 -8.0761e-01 +1.5555e+00 -3.2641e+00 -2.0076e+00 -2.5047e+00 -3.4242e-01 +7.5791e-01 +1.1055e-01 +2.4194e+00 -8.9661e-01 +1.5503e+00 -1.7816e+00 +1.6106e+00 -1.0613e+00 -2.1285e+00 +3.3759e-01
