% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +3.900661284e+02 +3.900661284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.814188465e+02 +3.814188465e+02 +3.722088465e+02 +3.722088465e+02 +2.0704e-01 -8.5233e-02 -4.2179e-01 -2.3346e+00 -5.4670e-01 +5.1501e-01 +1.9897e-01 -1.7315e+00 -4.8044e-01 -4.5856e-01 -1.7373e-02 -1.3840e+00 +2.1456e+00 +2.2678e+00 +1.6461e+00 +3.8407e-01 -3.4007e-01 -4.1942e-03 +1.2784e+00 +2.2960e+00
6 +3.229913977e+02 +3.229913977e+02 +3.137813977e+02 +3.137813977e+02 -3.5785e-01 -2.5371e+00 -1.5293e+00 -8.7794e-01 -5.1142e+00 -6.9366e-02 -2.5691e+00 -2.4183e+00 +1.8160e+00 -6.9808e+00 -2.3991e-01 -1.9012e+00 +3.6577e+00 +3.5933e+00 +1.0764e+00 +2.4899e+00 +4.1316e-01 +5.0749e+00 +1.8663e+00 +2.0607e+00
9 +2.915769264e+02 +2.915769264e+02 +2.823669264e+02 +2.823669264e+02 +1.3755e-01 +1.4981e-01 -4.8630e+00 -7.4417e-01 -6.1693e+00 -1.9777e+00 -2.5160e+00 -2.6314e+00 +3.1195e+00 -8.6619e+00 -4.7224e-01 -2.2640e+00 +4.3988e+00 +5.4801e+00 +1.6566e+00 +1.6692e+00 +2.2794e+00 +6.2373e+00 +2.5931e+00 +3.2445e+00
21 +2.686793721e+02 +2.686793721e+02 +2.594693721e+02 +2.594693721e+02 +2.0335e+00 -1.9038e-01 -3.6547e+00 -2.7704e+00 -5.9155e+00 -2.9123e+00 -4.0719e-01 -2.0420e+00 +4.3422e+00 -7.0914e+00 -1.2954e+00 -1.5448e+00 +3.5849e+00 +5.5106e+00 +9.1047e-01 +1.0727e+00 +3.1339e+00 +5.9869e+00 +1.6647e+00 +2.9493e+00
26 +2.577986423e+02 +2.577986423e+02 +2.485886423e+02 +2.485886423e+02 +4.7448e-01 -5.7925e-01 -3.4063e+00 -4.5165e+00 -6.8922e+00 -3.0256e+00 -5.2602e-01 -3.6483e-01 +5.0800e+00 -7.7685e+00 -1.4309e-01 -1.3420e+00 +4.4771e+00 +4.9314e+00 -5.8251e-01 +4.1516e-01 +3.7597e+00 +5.7997e+00 +1.2730e+00 +2.0506e+00
33 +2.393160066e+02 +2.393160066e+02 +2.301060066e+02 +2.301060066e+02 +5.3162e-01 -2.5724e+00 -4.4828e+00 -5.8860e+00 -8.5304e+00 -2.6591e+00 -6.9802e-02 +1.0015e-01 +5.5152e+00 -1.1080e+01 -1.3479e+00 -6.3110e-01 +6.4536e+00 +5.9380e+00 +4.2598e-01 -2.9822e-01 +5.4242e+00 +7.7451e+00 +1.1455e+00 +2.9256e+00
39 +2.295908707e+02 +2.295908707e+02 +2.203808707e+02 +2.203808707e+02 +5.3084e-01 +6.8299e-01 -4.2129e+00 -4.3634e+00 -6.8391e+00 -2.8883e+00 +2.3803e+00 +4.6913e-01 +6.2971e+00 -9.2289e+00 -6.4835e-01 -2.0413e+00 +5.5154e+00 +5.3667e+00 +6.6356e-01 +8.6620e-01 +2.9646e+00 +5.1651e+00 +2.5413e-01 +3.8984e+00
44 +2.103691901e+02 +2.103691901e+02 +2.011591901e+02 +2.011591901e+02 +1.7285e+00 +1.4407e+00 -5.4159e+00 -5.8919e+00 -8.2884e+00 -2.8917e+00 +1.5790e+00 -2.8244e-01 +6.5676e+00 -1.1452e+01 -1.8411e+00 -1.3889e+00 +6.0896e+00 +8.1378e+00 -4.4571e-01 -4.1922e-02 +2.7961e+00 +8.6848e+00 -5.4226e-01 +4.4243e+00
52 +2.086784307e+02 +2.086784307e+02 +1.994684307e+02 +1.994684307e+02 +1.9539e+00 +2.9317e+00 -7.5883e+00 -6.4984e+00 -1.0925e+01 -3.7467e+00 +2.8959e+00 +1.6985e+00 +7.4457e+00 -1.5606e+01 -3.0204e+00 -1.2074e+00 +9.3195e+00 +9.5770e+00 -1.0818e-01 +7.8830e-01 +3.2395e+00 +1.3051e+01 +3.0666e-01 +6.7900e+00
53 +1.894486278e+02 +1.894486278e+02 +1.802386278e+02 +1.802386278e+02 +3.1501e+00 -9.6638e-01 -4.4321e+00 -3.9306e+00 -7.0336e+00 -2.3537e+00 +2.7773e+00 +4.2466e-01 +6.7452e+00 -9.6033e+00 -2.8485e+00 -1.2494e+00 +6.2085e+00 +8.1041e+00 -6.4095e-02 -6.7606e-01 +2.8703e+00 +6.8635e+00 -1.7443e+00 +4.1424e+00
57 +1.859525136e+02 +1.859525136e+02 +1.767425136e+02 +1.767425136e+02 +3.2474e+00 +2.4191e-01 -6.3782e+00 -7.0992e+00 -1.0812e+01 -2.2572e+00 +7.5734e-01 -2.0963e+00 +7.3208e+00 -1.4483e+01 -2.2228e+00 -1.4674e+00 +7.1907e+00 +8.9985e+00 -1.4645e-01 +7.8912e-01 +4.9339e+00 +1.0797e+01 -2.4093e+00 +5.4726e+00
71 +1.742256185e+02 +1.742256185e+02 +1.650156185e+02 +1.650156185e+02 +3.0153e+00 +6.1857e-01 -6.6010e+00 -7.4112e+00 -1.1177e+01 -1.5314e+00 +1.7914e+00 -2.7269e+00 +6.8536e+00 -1.5432e+01 -6.6308e-01 -1.6191e+00 +8.2779e+00 +7.9285e+00 +1.0066e+00 +1.1438e+00 +5.7188e+00 +1.2052e+01 -5.4279e+00 +6.2490e+00
72 +1.654722840e+02 +1.654722840e+02 +1.562622840e+02 +1.562622840e+02 +4.3040e+00 +1.0056e+00 -6.7771e+00 -7.1866e+00 -1.0499e+01 -8.4679e-01 +1.8873e+00 -9.5499e-01 +7.8095e+00 -1.4478e+01 +9.0745e-01 -1.5367e+00 +7.0982e+00 +6.4890e+00 -5.2012e-01 +7.5880e-01 +5.4665e+00 +9.0182e+00 -4.5739e+00 +7.1193e+00
82 +1.463873141e+02 +1.463873141e+02 +1.371773141e+02 +1.371773141e+02 +6.2446e+00 +1.1307e+00 -1.0244e+01 -1.0863e+01 -1.2702e+01 -3.2149e+00 +1.9027e+00 -2.7284e+00 +6.5250e+00 -1.9242e+01 -2.7404e+00 -2.7624e+00 +1.0985e+01 +9.5062e+00 -1.4506e+00 -9.7045e-01 +8.8675e+00 +1.3579e+01 -5.4253e+00 +5.6764e+00
96 +1.342769728e+02 +1.342769728e+02 +1.250669728e+02 +1.250669728e+02 +6.0307e+00 +9.6769e-01 -9.8492e+00 -1.0989e+01 -1.1440e+01 -8.0890e-01 +9.1496e-01 -1.4243e+00 +5.4882e+00 -1.8566e+01 -2.3923e+00 -2.3055e+00 +9.8926e+00 +1.0089e+01 -1.9848e+00 -2.0336e+00 +7.9241e+00 +1.2429e+01 -6.4543e+00 +5.3124e+00
