% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.235000000e+02 +1.235000000e+02 +2.473300000e+02 +2.473300000e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
8113 +1.065627910e+02 +1.065627910e+02 +2.303927910e+02 +2.303927910e+02 -1.7161e-01 +5.9763e-01 +9.1332e-01 +2.0231e-03 -7.2150e-01 -3.8686e-01 +6.4414e-01 -1.4311e-02 +2.5801e-01 -9.9103e-01 +5.3035e-01 -6.3342e-02 -5.9520e-01 -1.8031e-01 +8.1821e-01 +2.7400e-01 -1.1803e+00 +2.1292e-01 +3.2334e-02 +1.8994e-01
8432 +1.033859449e+02 +1.033859449e+02 +2.272159449e+02 +2.272159449e+02 +5.9160e-02 +1.5711e-01 +6.7888e-01 +4.6370e-02 -4.7262e-01 +4.4102e-01 +9.7569e-01 -3.3522e-01 +1.5967e-01 -1.1409e+00 +1.7848e-01 -6.1869e-02 -3.2686e-01 +2.8132e-01 +3.1314e-01 +2.7313e-01 -7.4211e-01 +1.1955e-01 -1.7978e-01 +3.8481e-02
8440 +9.534367528e+01 +9.534367528e+01 +2.191736753e+02 +2.191736753e+02 +1.3430e-01 +3.3336e-01 +6.5653e-01 +8.7435e-02 -3.4003e-01 +8.6209e-02 +7.8211e-01 -2.9714e-01 +1.7138e-01 -7.4345e-01 +3.6085e-01 +5.7044e-03 -6.2411e-01 +1.6444e-01 +6.8844e-01 +5.4254e-01 -6.6549e-01 +8.2411e-02 -5.5554e-01 +1.2897e-01
9086 +7.334523180e+01 +7.334523180e+01 +1.971752318e+02 +1.971752318e+02 +5.8049e-02 +1.6624e-01 +3.2331e-01 -1.5359e-02 -3.5953e-01 -2.1469e-02 +8.5782e-01 -6.3687e-03 +1.9637e-01 -1.1382e+00 +2.2296e-01 -5.8675e-02 -4.5769e-01 -1.1646e-01 +6.4184e-01 +1.5015e-01 -8.4913e-01 +2.6255e-01 +3.2815e-02 -6.0955e-02
10318 +6.187834085e+01 +6.187834085e+01 +1.857083408e+02 +1.857083408e+02 -1.3308e-01 +2.3862e-01 +3.7622e-01 +3.9034e-01 -6.4911e-01 +2.9032e-01 +6.9353e-01 +4.4367e-02 -1.3703e-01 -1.1655e+00 +7.4169e-02 -1.0902e-01 -7.7005e-02 +5.2774e-02 +6.9483e-01 +4.9267e-01 -7.3197e-01 +2.3399e-01 -3.2564e-01 -1.9442e-01
10325 +5.964144893e+01 +5.964144893e+01 +1.834714489e+02 +1.834714489e+02 -1.4382e-01 +3.1880e-01 +5.0661e-01 +1.4467e-01 -5.9301e-01 +3.6761e-01 +8.2623e-01 +1.1665e-01 -7.6517e-02 -1.3974e+00 +1.5842e-01 +3.8579e-02 +1.8184e-02 +1.9831e-01 +7.7867e-01 +5.5279e-01 -6.6561e-01 +1.4177e-01 -5.4683e-01 -3.9065e-02
10329 +4.341407767e+01 +4.341407767e+01 +1.672440777e+02 +1.672440777e+02 -1.9519e-01 +1.3494e-01 +5.6651e-01 +3.4646e-01 -5.5742e-01 +1.3553e-01 +8.6346e-01 +5.1073e-02 -3.5270e-03 -1.1971e+00 +2.4170e-01 -6.5618e-03 -1.7621e-01 -1.4330e-02 +7.0060e-01 +4.0642e-01 -8.0312e-01 +2.5332e-01 -2.1773e-01 -1.5558e-01
10339 +4.174245168e+01 +4.174245168e+01 +1.655724517e+02 +1.655724517e+02 -6.6442e-02 +2.4251e-01 +4.8123e-01 +9.4725e-02 -5.7788e-01 +1.3677e-01 +7.8564e-01 -5.4556e-02 -6.3715e-02 -1.3613e+00 +2.2195e-01 +4.6346e-02 -2.7718e-01 +2.3653e-02 +5.7239e-01 +6.0047e-01 -8.3698e-01 +2.2707e-01 -3.2031e-01 -5.9340e-02
11313 +4.114376525e+01 +4.114376525e+01 +1.649737652e+02 +1.649737652e+02 -9.5415e-02 -3.8863e-02 +5.6321e-01 +7.6193e-02 -6.1312e-01 +1.7832e-01 +9.4040e-01 +3.0972e-01 +1.5178e-01 -9.2322e-01 +1.5537e-01 +1.6538e-01 -1.4204e-01 +1.7844e-02 +8.5262e-01 +4.2172e-01 -8.9110e-01 +9.6846e-02 -4.9764e-01 -1.0037e-01
11454 +3.856631429e+01 +3.856631429e+01 +1.623963143e+02 +1.623963143e+02 -1.0897e-01 +1.6256e-01 +6.8466e-01 +2.7937e-03 -7.9065e-01 +1.7733e-01 +7.9465e-01 +2.1018e-01 +7.6784e-02 -1.3035e+00 +2.6316e-01 +1.7994e-01 -2.3966e-01 +3.0642e-02 +9.3862e-01 +2.9363e-01 -1.0496e+00 +1.0720e-01 -3.2244e-01 -7.6201e-03
11862 +3.669780405e+01 +3.669780405e+01 +1.605278040e+02 +1.605278040e+02 +2.1873e-02 +2.9091e-01 +6.4929e-01 -3.2231e-02 -5.0370e-01 +1.6358e-01 +8.1138e-01 +7.9480e-02 -9.9212e-02 -1.1346e+00 +8.6737e-02 -1.6822e-01 -2.6560e-01 +1.0171e-01 +7.8668e-01 +5.4099e-01 -1.0182e+00 +3.6352e-01 -3.0656e-01 +9.7780e-02
11872 +3.376286751e+01 +3.376286751e+01 +1.575928675e+02 +1.575928675e+02 -4.3626e-02 +2.8274e-01 +6.9661e-01 +1.2029e-01 -5.3528e-01 +2.2231e-01 +7.7784e-01 +1.7693e-01 -2.7786e-02 -1.1740e+00 +2.6077e-02 -1.6196e-01 -1.5457e-01 +6.7289e-02 +8.9402e-01 +4.6628e-01 -1.0629e+00 +3.4736e-01 -2.3537e-01 +1.0224e-01
11888 +3.293335881e+01 +3.293335881e+01 +1.567633588e+02 +1.567633588e+02 -1.3198e-01 +3.1577e-01 +6.5423e-01 +8.1154e-02 -5.3598e-01 +2.1676e-01 +8.6292e-01 +1.2573e-01 +4.1790e-02 -1.1609e+00 +3.3512e-02 -1.5591e-02 -1.4583e-01 +1.2216e-01 +9.1462e-01 +3.6065e-01 -1.0518e+00 +2.9489e-01 -2.2052e-01 +2.1152e-02
12477 +2.853539787e+01 +2.853539787e+01 +1.523653979e+02 +1.523653979e+02 -1.7210e-01 +2.5350e-01 +6.8748e-01 +3.1197e-02 -4.7275e-01 +6.0952e-02 +7.9369e-01 +1.6074e-01 -2.9331e-02 -1.1925e+00 +2.3619e-01 -1.1582e-02 -8.5739e-02 +6.9334e-02 +7.0150e-01 +3.9165e-01 -8.8061e-01 +2.5159e-01 -2.7006e-01 -3.6222e-02
12775 +2.474252298e+01 +2.474252298e+01 +1.485725230e+02 +1.485725230e+02 -4.6716e-02 +1.9895e-01 +6.2973e-01 +5.3375e-02 -6.2799e-01 +1.4969e-01 +9.3400e-01 +2.6679e-01 -3.0241e-02 -1.1806e+00 +1.5142e-01 -3.7139e-02 -1.1316e-01 +2.4604e-02 +7.6993e-01 +4.4373e-01 -1.0009e+00 +2.4118e-01 -2.5194e-01 -4.2840e-02
13211 +2.416667463e+01 +2.416667463e+01 +1.479966746e+02 +1.479966746e+02 -1.5123e-01 +8.1836e-02 +7.4549e-01 +4.4352e-02 -5.9723e-01 +1.0284e-01 +8.5031e-01 +1.9511e-01 +6.2890e-02 -1.1445e+00 +1.3194e-01 +9.3272e-02 -1.1218e-01 -1.6479e-02 +8.4985e-01 +4.6139e-01 -1.0254e+00 +2.5049e-01 -2.8916e-01 +2.9919e-02
15167 +2.348843599e+01 +2.348843599e+01 +1.473184360e+02 +1.473184360e+02 -6.8591e-02 +1.6870e-01 +6.3517e-01 +1.1928e-01 -5.9369e-01 +1.8059e-01 +8.3148e-01 +2.4307e-01 -2.1294e-02 -1.2682e+00 +1.4948e-01 +3.8704e-03 -1.5909e-01 +6.7365e-02 +8.5797e-01 +5.0266e-01 -9.8265e-01 +2.9987e-01 -3.5135e-01 -2.6708e-02
15190 +2.307635219e+01 +2.307635219e+01 +1.469063522e+02 +1.469063522e+02 +9.9324e-03 +1.9524e-01 +6.6168e-01 +1.0341e-01 -5.6647e-01 +2.2121e-01 +8.8311e-01 +2.3924e-01 +2.1750e-02 -1.2552e+00 +1.5948e-01 +4.9699e-02 -1.0818e-01 +3.5319e-02 +8.8235e-01 +4.9097e-01 -9.6793e-01 +2.6679e-01 -3.4373e-01 -1.4138e-02
15463 +2.290020932e+01 +2.290020932e+01 +1.467302093e+02 +1.467302093e+02 -4.0998e-02 +1.5755e-01 +7.0607e-01 +6.9655e-02 -5.7658e-01 +2.7219e-01 +8.7735e-01 +2.0899e-01 -1.8077e-02 -1.1146e+00 +2.0745e-01 +5.3530e-02 -1.7543e-02 +1.1351e-01 +9.4723e-01 +5.2262e-01 -9.5160e-01 +2.3964e-01 -2.9473e-01 +9.5288e-02
15685 +2.237999051e+01 +2.237999051e+01 +1.462099905e+02 +1.462099905e+02 -2.1691e-02 +1.1136e-01 +6.5285e-01 +7.2421e-02 -5.6524e-01 +2.2954e-01 +8.4643e-01 +2.1707e-01 +3.7112e-04 -1.1371e+00 +1.9449e-01 -2.2058e-02 -1.1376e-01 +5.6349e-02 +8.3663e-01 +4.7669e-01 -1.0194e+00 +3.4825e-01 -3.0146e-01 -9.0040e-03
16506 +2.151314965e+01 +2.151314965e+01 +1.453431497e+02 +1.453431497e+02 -1.8093e-01 +7.7555e-02 +7.4312e-01 +1.3503e-01 -5.1315e-01 +2.3697e-01 +9.2636e-01 +2.2263e-01 -2.3812e-02 -1.1551e+00 +8.1490e-02 +7.1909e-02 -2.1539e-02 +8.3434e-02 +9.3520e-01 +5.0609e-01 -9.8613e-01 +3.3560e-01 -2.5335e-01 +8.9567e-02
