% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.357246449e+01 +7.357246449e+01 +1.449224645e+02 +1.449224645e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +6.165926701e+01 +6.165926701e+01 +1.330092670e+02 +1.330092670e+02 -2.8886e+00 -4.9997e-01 -6.3867e+00 -5.6887e-02 +2.1719e+00 -6.0965e-01 +1.1876e+00 +5.0656e+00 +3.4583e+00 -2.6844e+00 +3.6028e+00 +1.6568e+00 -1.0383e+00 -1.9623e+00 +4.3225e+00 +2.4162e+00 +1.9551e+00 -3.4931e-01 +1.8118e+00 +2.2384e-01
5 +5.953400762e+01 +5.953400762e+01 +1.308840076e+02 +1.308840076e+02 +3.1113e-01 -1.2056e+00 +7.2046e-01 +4.1868e-04 -2.5002e-01 -4.4545e-01 +2.9005e-01 +4.2526e-01 +1.1124e+00 +1.3446e+00 -6.1414e-01 +4.2271e-01 -6.5749e-01 -1.2290e+00 -1.8739e+00 -8.9603e-01 +4.7220e-01 +6.3363e-01 -1.0715e+00 +7.1642e-01
13 +5.365904412e+01 +5.365904412e+01 +1.250090441e+02 +1.250090441e+02 +9.6008e-01 -1.4041e+00 +1.8219e+00 -5.8872e-02 -4.1280e-02 -1.6651e+00 -1.0021e+00 +8.5216e-01 +7.6895e-01 +6.9989e-01 -1.2071e+00 -1.1848e+00 -1.1757e+00 -6.0790e-01 -2.2500e+00 -2.6066e+00 +9.8836e-01 +2.3782e+00 -2.9323e+00 -2.3647e-01
18 +3.438470739e+01 +3.438470739e+01 +1.057347074e+02 +1.057347074e+02 +3.3638e+00 -3.1810e+00 +3.1321e+00 -2.2776e-02 -1.6715e+00 +1.0929e+00 +5.4902e-01 -2.1948e+00 -3.9446e-01 +3.0868e+00 -3.2991e+00 +1.4160e-02 +1.8744e-01 +1.2897e-01 -4.0989e+00 -9.5873e-01 +1.8277e-01 +3.8160e-01 -1.6623e+00 +5.5411e-01
106 +2.019895740e+01 +2.019895740e+01 +9.154895740e+01 +9.154895740e+01 -3.9006e-01 -1.0093e+00 -1.3907e+00 +3.3672e-01 -1.0163e+00 -1.8729e+00 +1.6559e+00 +1.3186e+00 +1.4231e+00 -1.4937e+00 +6.0674e-01 +1.0196e+00 -2.5896e+00 -9.7307e-01 +5.5596e-01 -2.1941e+00 +2.2753e+00 -9.2494e-01 -5.5009e-01 -2.0429e-01
795 +1.488958372e+01 +1.488958372e+01 +8.623958372e+01 +8.623958372e+01 -3.7080e+00 -2.6567e+00 -2.1391e+00 +2.5377e+00 +3.0191e+00 -2.8879e+00 +2.3101e+00 +1.4465e+00 +3.7845e+00 +1.3647e+00 +1.6922e-01 -8.1147e-01 +7.8393e-01 +2.8135e-01 -3.6527e+00 -1.4799e+00 +1.0543e+00 +4.6299e+00 -2.2715e+00 +1.8256e+00
814 +1.236056219e+01 +1.236056219e+01 +8.371056219e+01 +8.371056219e+01 -3.4488e+00 -2.4256e+00 -2.2192e+00 +2.4827e+00 +3.1354e+00 -3.1748e+00 +2.0692e+00 +1.3954e+00 +3.7360e+00 +1.4357e+00 +2.2343e-01 -9.4949e-01 +7.8687e-01 +4.8818e-01 -3.8198e+00 -1.4193e+00 +8.8275e-01 +4.8427e+00 -2.3841e+00 +2.0420e+00
855 +1.140709099e+01 +1.140709099e+01 +8.275709099e+01 +8.275709099e+01 -3.4006e+00 -2.5118e+00 -2.1559e+00 +2.7585e+00 +3.1649e+00 -3.0554e+00 +1.5924e+00 +1.4989e+00 +3.5381e+00 +1.2973e+00 +2.2571e-01 -6.5438e-01 +8.6732e-01 +9.3525e-02 -3.9588e+00 -1.4400e+00 +9.9054e-01 +4.8397e+00 -2.6205e+00 +2.2778e+00
871 +1.072621409e+01 +1.072621409e+01 +8.207621409e+01 +8.207621409e+01 -3.2841e+00 -2.5105e+00 -2.1703e+00 +2.6268e+00 +3.3696e+00 -2.9440e+00 +1.3991e+00 +1.4105e+00 +3.4475e+00 +1.2687e+00 +2.2007e-01 -6.5631e-01 +7.7867e-01 +3.6067e-01 -4.1508e+00 -1.5138e+00 +9.7624e-01 +4.7811e+00 -2.5137e+00 +2.2859e+00
880 +9.916673526e+00 +9.916673526e+00 +8.126667353e+01 +8.126667353e+01 -3.3610e+00 -2.6203e+00 -2.0157e+00 +2.6374e+00 +3.4371e+00 -2.8900e+00 +1.3638e+00 +1.3681e+00 +3.3505e+00 +1.2153e+00 +1.4576e-01 -7.4167e-01 +7.5357e-01 +3.3824e-01 -4.2284e+00 -1.4342e+00 +1.0299e+00 +4.8660e+00 -2.4026e+00 +2.2487e+00
938 +9.549326132e+00 +9.549326132e+00 +8.089932613e+01 +8.089932613e+01 -3.2740e+00 -2.8181e+00 -2.0125e+00 +2.3325e+00 +3.1415e+00 -2.9454e+00 +1.1900e+00 +1.3562e+00 +3.6341e+00 +1.2455e+00 +2.0750e-01 -7.1600e-01 +8.3554e-01 +1.3658e-01 -4.0377e+00 -1.4941e+00 +1.2774e+00 +4.5329e+00 -2.2620e+00 +2.2235e+00
954 +7.303955976e+00 +7.303955976e+00 +7.865395598e+01 +7.865395598e+01 -3.2659e+00 -2.8151e+00 -1.9377e+00 +2.2997e+00 +3.2161e+00 -3.0196e+00 +8.8029e-01 +1.4570e+00 +3.7712e+00 +1.1996e+00 +2.2924e-01 -8.3981e-01 +8.8817e-01 +1.1895e-01 -4.0638e+00 -1.4869e+00 +1.1828e+00 +4.4033e+00 -2.1844e+00 +2.2910e+00
1014 +7.070936694e+00 +7.070936694e+00 +7.842093669e+01 +7.842093669e+01 -3.1809e+00 -2.8137e+00 -1.9657e+00 +2.4898e+00 +3.3088e+00 -3.3174e+00 +7.7883e-01 +1.4496e+00 +3.8673e+00 +1.1961e+00 +8.7341e-02 -8.9620e-01 +9.3525e-01 +2.0403e-01 -3.9639e+00 -1.2671e+00 +1.0116e+00 +3.9858e+00 -2.3880e+00 +2.0413e+00
1052 +5.604113338e+00 +5.604113338e+00 +7.695411334e+01 +7.695411334e+01 -3.1844e+00 -2.6236e+00 -2.0043e+00 +2.5283e+00 +3.1665e+00 -3.2189e+00 +7.5412e-01 +1.4115e+00 +3.8412e+00 +1.1381e+00 +7.8897e-02 -7.6304e-01 +1.0973e+00 +1.1873e-01 -4.1681e+00 -1.3423e+00 +1.1265e+00 +4.1805e+00 -2.3858e+00 +2.0518e+00
1173 +5.273959193e+00 +5.273959193e+00 +7.662395919e+01 +7.662395919e+01 -3.1672e+00 -2.7303e+00 -2.0277e+00 +2.1980e+00 +3.2244e+00 -3.2402e+00 +6.8573e-01 +1.4577e+00 +3.6871e+00 +1.0323e+00 -3.4120e-02 -7.8862e-01 +1.0418e+00 +8.4274e-02 -4.0732e+00 -1.5310e+00 +9.7247e-01 +4.2344e+00 -2.4311e+00 +2.3533e+00
1185 +5.209873128e+00 +5.209873128e+00 +7.655987313e+01 +7.655987313e+01 -3.1927e+00 -2.7069e+00 -2.0112e+00 +2.2264e+00 +3.2236e+00 -3.2009e+00 +6.6851e-01 +1.4779e+00 +3.7261e+00 +1.0044e+00 -2.2696e-02 -8.0428e-01 +1.0671e+00 +9.6287e-02 -4.0788e+00 -1.5335e+00 +9.7322e-01 +4.2386e+00 -2.3897e+00 +2.4034e+00
1190 +4.870049705e+00 +4.870049705e+00 +7.622004970e+01 +7.622004970e+01 -3.1887e+00 -2.7542e+00 -1.9900e+00 +2.1976e+00 +3.2736e+00 -3.2833e+00 +6.6457e-01 +1.4276e+00 +3.7220e+00 +1.0561e+00 +2.7752e-02 -7.7438e-01 +1.0929e+00 +1.1263e-01 -4.1173e+00 -1.5753e+00 +9.8914e-01 +4.1739e+00 -2.4010e+00 +2.3133e+00
1192 +4.320594894e+00 +4.320594894e+00 +7.567059489e+01 +7.567059489e+01 -3.1826e+00 -2.7124e+00 -2.0005e+00 +2.2289e+00 +3.2714e+00 -3.2910e+00 +6.7084e-01 +1.4387e+00 +3.7562e+00 +9.8460e-01 +5.4037e-02 -7.7953e-01 +1.0796e+00 +1.9509e-01 -4.1482e+00 -1.5939e+00 +1.0257e+00 +4.2048e+00 -2.4090e+00 +2.2617e+00
1201 +4.096026305e+00 +4.096026305e+00 +7.544602631e+01 +7.544602631e+01 -3.1855e+00 -2.7634e+00 -1.9827e+00 +2.2134e+00 +3.2411e+00 -3.2180e+00 +6.6147e-01 +1.4494e+00 +3.7165e+00 +1.0740e+00 +2.0546e-02 -7.7265e-01 +1.0837e+00 +1.0263e-01 -4.1031e+00 -1.5549e+00 +9.7268e-01 +4.2024e+00 -2.4355e+00 +2.2853e+00
1207 +3.799175248e+00 +3.799175248e+00 +7.514917525e+01 +7.514917525e+01 -3.1600e+00 -2.7290e+00 -1.9973e+00 +2.2194e+00 +3.2044e+00 -3.2406e+00 +6.7414e-01 +1.3889e+00 +3.6829e+00 +1.1386e+00 +1.4699e-02 -7.7066e-01 +1.0559e+00 +1.1881e-01 -4.0735e+00 -1.5500e+00 +1.0043e+00 +4.1457e+00 -2.4513e+00 +2.2875e+00
1323 +3.612630235e+00 +3.612630235e+00 +7.496263023e+01 +7.496263023e+01 -3.1852e+00 -2.7530e+00 -1.9595e+00 +2.3084e+00 +3.1393e+00 -3.1989e+00 +7.2838e-01 +1.3851e+00 +3.6652e+00 +1.1352e+00 +6.0603e-02 -7.9193e-01 +1.1481e+00 +1.1083e-01 -3.9705e+00 -1.4100e+00 +1.0357e+00 +4.2002e+00 -2.4158e+00 +2.3302e+00
1408 +3.203320149e+00 +3.203320149e+00 +7.455332015e+01 +7.455332015e+01 -3.2036e+00 -2.7509e+00 -1.9150e+00 +2.3301e+00 +3.1573e+00 -3.2314e+00 +7.3110e-01 +1.3849e+00 +3.6757e+00 +1.1169e+00 +7.6108e-02 -8.5172e-01 +1.1298e+00 +1.6890e-01 -4.0186e+00 -1.4524e+00 +1.0177e+00 +4.1908e+00 -2.3926e+00 +2.3044e+00
1501 +2.854630129e+00 +2.854630129e+00 +7.420463013e+01 +7.420463013e+01 -3.1799e+00 -2.7711e+00 -1.9512e+00 +2.3197e+00 +3.1599e+00 -3.2499e+00 +7.4077e-01 +1.4098e+00 +3.6768e+00 +1.0978e+00 +6.4191e-02 -8.2041e-01 +1.1325e+00 +1.6423e-01 -4.0225e+00 -1.4347e+00 +9.9587e-01 +4.1915e+00 -2.4145e+00 +2.2918e+00
1517 +2.817448162e+00 +2.817448162e+00 +7.416744816e+01 +7.416744816e+01 -3.1873e+00 -2.7684e+00 -1.9496e+00 +2.3331e+00 +3.1574e+00 -3.2440e+00 +7.3244e-01 +1.4191e+00 +3.6815e+00 +1.1036e+00 +5.9730e-02 -8.1794e-01 +1.1279e+00 +1.5724e-01 -4.0195e+00 -1.4488e+00 +1.0112e+00 +4.1901e+00 -2.4223e+00 +2.2812e+00
