% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.287602554e+01 +8.287602554e+01 -9.171239745e+02 -9.171239745e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
17 +7.881193581e+01 +7.881193581e+01 -9.211880642e+02 -9.211880642e+02 +2.9977e-01 +1.3576e-01 +5.3460e-01 -2.8335e+00 +2.9933e+00 -6.8722e-01 -1.0515e+00 +7.1870e-01 -1.5859e+00 -2.9946e+00 +1.4694e+00 +6.2915e-01 -4.0445e-01 +1.1338e+00 +1.3530e+00 -2.7925e-01 -7.2327e-01 -3.5380e-01 +1.0420e+00 -1.2816e+00
23 +7.737250323e+01 +7.737250323e+01 -9.226274968e+02 -9.226274968e+02 +4.4448e-01 +2.6449e-01 +1.7272e+00 -3.0452e+00 +3.8995e+00 -4.5233e-01 +7.7174e-01 +5.6311e-01 -1.4299e+00 -1.3640e+00 +3.6773e-01 +6.5571e-01 -9.0639e-01 +1.8308e+00 +1.2617e+00 -1.1612e+00 -1.7373e+00 -6.2575e-01 +9.8819e-01 -1.0105e+00
35 +7.388801856e+01 +7.388801856e+01 -9.261119814e+02 -9.261119814e+02 +1.2426e+00 +2.6280e-01 +3.1610e+00 -3.6310e+00 +3.7638e+00 -4.2675e-02 +1.0120e+00 +1.1593e+00 -1.1543e+00 -1.0435e+00 +4.2826e-01 +1.0656e+00 -2.2239e-01 +2.3216e+00 +9.9829e-01 -1.1572e+00 -1.7095e+00 -8.9675e-02 +1.5051e+00 -1.7383e+00
74 +7.206132212e+01 +7.206132212e+01 -9.279386779e+02 -9.279386779e+02 +1.9141e+00 -6.5295e-01 +3.4641e+00 -3.7881e+00 +3.0132e+00 +2.0859e+00 +6.0133e-01 +1.7280e+00 -1.3276e+00 +1.0089e+00 +1.0420e+00 +1.4979e+00 -2.3673e+00 +3.5018e+00 +1.3726e+00 -1.1912e+00 -6.4894e-01 +1.7832e+00 +1.3296e+00 -1.5235e+00
98 +6.725924437e+01 +6.725924437e+01 -9.327407556e+02 -9.327407556e+02 +3.1070e+00 -6.0981e-01 +3.4793e+00 -3.0260e+00 +2.0546e+00 +1.9559e+00 +5.4372e-01 +7.0544e-01 -1.3665e+00 +8.7724e-01 +1.3702e+00 +1.3960e+00 -1.7216e+00 +3.7813e+00 +1.7430e+00 -5.9878e-01 +5.5599e-01 +2.1310e+00 +1.8988e+00 -1.8987e+00
112 +6.512207950e+01 +6.512207950e+01 -9.348779205e+02 -9.348779205e+02 +1.8984e+00 -1.5739e+00 +3.4318e+00 -2.6818e+00 +2.9728e+00 +1.2650e+00 +1.5494e+00 +3.1684e-01 -7.8107e-01 +2.3459e-01 +9.3476e-01 -5.2205e-03 -2.0254e+00 +2.5478e+00 +1.9565e+00 -9.7911e-01 +6.3648e-01 +2.2668e+00 +2.3938e+00 -2.3447e+00
128 +6.367562642e+01 +6.367562642e+01 -9.363243736e+02 -9.363243736e+02 +3.4969e+00 -4.0790e-01 +3.3277e+00 -3.2194e+00 +2.7732e+00 +1.7405e+00 +2.1379e+00 +7.8823e-01 -5.6114e-01 -1.0368e-01 +1.5673e+00 +3.5677e-01 -1.6746e+00 +3.3928e+00 +3.2314e+00 -3.9508e-01 +3.3986e-01 +4.0922e+00 +1.8816e+00 -2.0251e+00
152 +6.273217778e+01 +6.273217778e+01 -9.372678222e+02 -9.372678222e+02 +3.7422e+00 -3.0141e-01 +1.6975e+00 -3.5175e+00 +3.5740e+00 +4.5128e-01 +3.0449e+00 +9.6438e-01 -8.8702e-01 -4.3566e-01 +1.8221e+00 +6.5045e-01 -1.4645e-01 +2.3993e+00 +2.9875e+00 +1.3322e-01 +5.8928e-01 +2.2026e+00 +1.7581e+00 -1.7577e+00
169 +6.122311719e+01 +6.122311719e+01 -9.387768828e+02 -9.387768828e+02 +3.5974e+00 -3.5835e-01 +2.4808e+00 -4.5809e+00 +3.0997e+00 +4.7133e-01 +3.0090e+00 +1.0679e+00 +1.0580e+00 -5.6729e-01 +2.8525e+00 -3.1017e-01 +1.3185e+00 +2.5608e+00 +3.2509e+00 -4.5298e-01 -6.8292e-01 +3.0699e+00 +1.1852e+00 -1.8242e+00
235 +6.023049687e+01 +6.023049687e+01 -9.397695031e+02 -9.397695031e+02 +3.4496e+00 -9.0093e-01 +2.9987e+00 -3.3528e+00 +3.1156e+00 +1.7528e-01 +1.8503e+00 +1.3949e-01 -1.4390e+00 -9.6890e-01 +1.2359e+00 +1.5835e+00 +1.7866e+00 +1.7604e+00 +3.5638e+00 +3.7917e-01 +4.8290e-01 +2.7520e+00 +1.9442e+00 -7.9136e-01
276 +5.664063297e+01 +5.664063297e+01 -9.433593670e+02 -9.433593670e+02 +3.6204e+00 -1.4065e+00 +2.5630e+00 -2.2760e+00 +2.3283e+00 +3.7720e-01 +1.6420e+00 +6.2682e-01 -9.5126e-01 -8.3072e-01 +1.5779e+00 +1.1125e+00 +1.0869e+00 +2.1526e+00 +3.5881e+00 +9.5050e-01 -3.3263e-01 +3.6449e+00 +2.0468e+00 -5.1395e-01
284 +5.501171064e+01 +5.501171064e+01 -9.449882894e+02 -9.449882894e+02 +3.1812e+00 -2.3099e+00 +2.9126e+00 -2.2115e+00 +2.7124e+00 +2.8204e-01 +1.8299e+00 +7.0313e-01 -5.5593e-01 -1.2182e+00 +2.0100e+00 +9.4550e-01 +8.6825e-01 +2.6404e+00 +3.4450e+00 +9.5078e-01 -2.4697e-01 +3.5711e+00 +2.1166e+00 +2.1712e-02
298 +5.459153543e+01 +5.459153543e+01 -9.454084646e+02 -9.454084646e+02 +2.9360e+00 -1.8271e+00 +3.2146e+00 -2.7309e+00 +2.7157e+00 +9.1974e-02 +1.6105e+00 +1.1929e+00 -7.2727e-01 -7.1337e-01 +2.1097e+00 +1.2413e+00 +4.6179e-01 +2.2363e+00 +4.2720e+00 +8.6262e-01 +8.0620e-02 +3.1985e+00 +2.7559e+00 +1.2311e-01
310 +4.966353533e+01 +4.966353533e+01 -9.503364647e+02 -9.503364647e+02 +2.6801e+00 -1.1487e+00 +2.9821e+00 -3.0844e+00 +2.4201e+00 +6.1650e-01 +1.7014e+00 +9.5108e-01 -1.1476e+00 -1.0733e+00 +1.3715e+00 +1.5036e+00 +2.8985e-01 +2.7037e+00 +3.8711e+00 +1.7890e-01 +1.1616e-01 +3.0104e+00 +2.5998e+00 +8.3940e-01
317 +4.867272046e+01 +4.867272046e+01 -9.513272795e+02 -9.513272795e+02 +2.9623e+00 -1.6237e+00 +2.7729e+00 -3.2536e+00 +2.0193e+00 +9.6130e-01 +1.3513e+00 +3.8578e-01 -1.0354e+00 -6.5811e-01 +1.2554e+00 +7.5592e-01 +8.6224e-01 +2.9067e+00 +4.0252e+00 -1.9798e-01 -1.7225e-01 +2.4806e+00 +2.2932e+00 +6.8202e-01
348 +4.628282007e+01 +4.628282007e+01 -9.537171799e+02 -9.537171799e+02 +2.4353e+00 -2.1984e+00 +1.9034e+00 -2.8873e+00 +1.9565e+00 +7.2269e-01 +2.1372e+00 -6.0577e-01 -7.9642e-01 +4.1907e-05 +1.0576e+00 +1.3540e-01 +1.8033e+00 +3.4700e+00 +4.2005e+00 -6.8183e-01 -2.3921e-01 +2.6679e+00 +2.7666e+00 +8.2737e-01
361 +4.555260463e+01 +4.555260463e+01 -9.544473954e+02 -9.544473954e+02 +2.5714e+00 -1.9775e+00 +2.0097e+00 -1.8840e+00 +2.3984e+00 +4.0766e-01 +2.7586e+00 -4.9282e-01 -9.5606e-01 -1.2378e-01 +8.4448e-01 +1.0974e-01 +2.2638e+00 +3.6186e+00 +3.7227e+00 -1.2567e+00 -3.6934e-01 +2.2824e+00 +2.3957e+00 +1.2148e+00
411 +4.256705338e+01 +4.256705338e+01 -9.574329466e+02 -9.574329466e+02 +2.2471e+00 -2.1090e+00 +2.0988e+00 -2.5408e+00 +2.6141e+00 +1.0585e+00 +2.6736e+00 -2.2629e-01 -1.2122e+00 -9.0215e-03 +1.3349e+00 +3.9557e-01 +1.0150e+00 +2.8894e+00 +3.7231e+00 -9.4478e-01 -3.1805e-01 +3.1995e+00 +2.6307e+00 +4.5738e-01
412 +4.143164904e+01 +4.143164904e+01 -9.585683510e+02 -9.585683510e+02 +2.1652e+00 -1.8888e+00 +2.3751e+00 -2.2161e+00 +2.5362e+00 +1.1613e+00 +2.4552e+00 -1.4035e-01 -1.2911e+00 +3.7059e-01 +1.2880e+00 +6.6472e-01 +8.4189e-01 +2.9646e+00 +4.0137e+00 -1.2225e+00 -2.1259e-01 +2.6052e+00 +2.9343e+00 +4.5461e-01
440 +4.065434137e+01 +4.065434137e+01 -9.593456586e+02 -9.593456586e+02 +2.2856e+00 -1.7549e+00 +2.4226e+00 -2.1001e+00 +2.9151e+00 +9.7177e-01 +2.4356e+00 -3.8722e-01 -6.9524e-01 +8.8843e-01 +1.0059e+00 +1.8926e-01 +3.9306e-01 +3.1737e+00 +4.1960e+00 -9.6164e-01 +3.4576e-01 +2.7095e+00 +2.6848e+00 +1.1211e-01
466 +3.966476061e+01 +3.966476061e+01 -9.603352394e+02 -9.603352394e+02 +2.2198e+00 -2.3661e+00 +2.2797e+00 -2.4494e+00 +3.0586e+00 +8.4601e-02 +2.7283e+00 -2.4618e-01 -4.2882e-01 +6.8597e-01 +9.7567e-01 +8.0895e-02 +2.4139e-01 +2.9491e+00 +4.3591e+00 -9.4206e-01 +3.4259e-01 +3.2289e+00 +2.9145e+00 +6.9501e-01
